epoch,batch,g_loss,d_loss,psnr,ssim
107,0,0.750500,0.710049,9.637985,0.295174
107,1,0.789354,0.699595,9.677274,0.334621
107,2,0.774397,0.698961,9.812985,0.284401
107,3,0.656051,0.687811,11.144869,0.323527
